event_id	이름	지역	기관	기업	튜터	인원 수	대상	목적	장소	교육 방식	교육 형태	시간	횟수	주차	내용
259.0	찾아가는 스마트폰 활용 교육	전라남도 해남군 해남읍, 북일면 등	해남군청	없음	전산 전문 직원	(문단에서 명시되지 않음, 신청자 다수)	해남군 어르신	스마트폰 활용 능력 향상 및 소통 증진, 보이스피싱 예방	해남읍 장활리, 면 단위 노인회관 및 마을회관 등	오프라인	그룹	(문단에서 명시되지 않음)	(문단에서 명시되지 않음)	(문단에서 명시되지 않음, 2월 시작)	인터넷 검색, 사진 촬영, 문자 및 사진 전송, 해남 소통넷 활용법, 보이스피싱 예방법 등
260.0	찾아가는 스마트폰 교육	전라남도 해남군	해남군		해남군 디지털배움터 지정기관 강사 및 서포터즈	전 군민 (구체적인 인원수는 언급되지 않음)	디지털 이용에 어려움을 겪는 전 군민, 특히 어르신	정보화 소외계층의 디지털 격차 해소	해남군 내 6개소 디지털배움터, 마을회관, 경로당	오프라인	1:1 및 그룹	언급되지 않음	언급되지 않음	언급되지 않음	스마트폰 활용, 컴퓨터 기초 등 다양한 디지털 역량 강화
260.0	사랑의 PC 보급	전라남도 해남군	해남군			100명 (2023년) / 총 1664명 (누적)	정보소외계층	정보소외계층의 정보 이용 및 접근 기회 확대							행정업무용 컴퓨터 재정비 후 무상 보급
260.0	마을방송 옥외 스피커 가정 설치 사업	전라남도 해남군	해남군			624가구	20가구 미만 41개 마을 주민	행정정보, 농사정보, 재난정보 등 실시간 전달	각 가정	오프라인	그룹				각종 행정정보, 농사정보, 재난정보 등 실시간 전달 및 재청취 기능 제공
261.0	스마트폰 교육 및 디지털 에듀버스 체험	전라북도 진안군	진안군복합노인복지타운 노인복지관	전라북도 디지털배움터	기사에 명시되지 않음	기사에 명시되지 않음	스마트 기기 사용이 어려운 어르신	스마트 기기 사용법 숙지 및 다양한 디지털 기기 체험	진안군복합노인복지타운 노인복지관	오프라인	그룹	기사에 명시되지 않음	2회	2주	키오스크, 어르신 케어로봇(다솜이) 시연, AI스피커, VR, 드론 체험
261.0	스마트기기 활용 및 키오스크 교육	전라북도 진안군	진안군노인복지관	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	스마트 기기 사용이 어려운 어르신	디지털 격차 해소 및 스마트 기기 활용 능력 향상	진안군노인복지관	오프라인	그룹	기사에 명시되지 않음	1회	52주	스마트폰 활용 및 키오스크 사용법
262.0	모두를 위한 디지털 금융교육	서울특별시 성북구, 서울특별시 강서구	카카오임팩트, 시니어금융교육협의회	카카오페이	불명	40여 명	5060 시니어	디지털 금융에 대한 이해도 향상 및 실질적인 활용 능력 배양, 금융 사기 예방	성북과 강서 50플러스센터	오프라인	그룹	불명	불명	4주(추정)	기초 금융 이론, 디지털 금융 실습(송금, 결제, 포인트 적립, 마이데이터 활용 등), 금융 사기 예방법, 카카오페이손해보험 '함께하는 금융안심보험' 소개
263.0	맞춤형 디지털 인지훈련 치매 예방 프로그램	경기도, 시,	국민건강보험공단 인천경기지역본부		(명시되지 않음)	36명	방문요양·주간 보호 이용 수급자와 복지관 어르신	노인성 질환인 치매의 효율적 예방과 관리	(명시되지 않음)	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	7주	시·공간력, 주의 집중력, 언어계산력 등 영역별 다양한 학습 콘텐츠
264.0	찾아가는 디지털 기기 교육	광주광역시 남구 주월동, 광주광역시 남구 효천동	남구청	없음	명시되지 않음	15명/회차 (총 225명 예상)	디지털 기기 사용이 익숙하지 않은 주민	디지털 기기 사용 능력 향상	주월동 통합거점 경로당, 효천 중흥S클래스 경로당	오프라인	1대1 및 그룹	명시되지 않음	1주 1회 (예상)	4개월 (15차례)	스마트폰 기본 활용법, 카카오톡 및 키오스크 실습·체험, 어르신 건강생활 앱 활용법
265.0															
266.0	찾아가는 키오스크 체험교육	광주광역시 남구	광주 남구청	없음	스마트폰 교육 강사 경험이 있는 주민 12명	불명 (30차례 진행)	디지털 소외계층 어르신	무인 단말기(키오스크) 사용에 대한 두려움 해소 및 디지털 기기 활용 능력 향상	경로당, 복지관, 남구청사 6층 전산 교육장	오프라인	그룹	불명	매월 3회	9개월	키오스크 사용법, 버스 승차권 발급, 영화표 발급, 음식 주문 등 무인 단말기 활용 실습
267.0															
268.0															
269.0															
270.0	행복교실 (문해 배달강좌 및 문화·디지털 체험)	강원도 양양군	양양군		문해교육사	140여 명	관내 12개 경로당 어르신 (저학력·비문해 성인)	비문해 성인들의 문해력과 디지털 접근성 향상, 사회 변화 적응 지원	양양작은영화관, 경로당 등	오프라인	그룹	(자료 미제공)	(자료 미제공)	24주 (3월~12월)	문해교육, 영화 관람, 키오스크 사용법 등
271.0															
272.0	어르신 대상 키오스크 및 스마트폰 활용 교육	충청남도 부여군	충청남도평생교육진흥원		(정보 없음)	(정보 없음)	어르신(디지털 기기 사용 어려움 겪는 취약계층)	디지털 문해 교육 제공, 일상생활에 필요한 디지털 기기 사용법 숙지	부여도서관	오프라인	그룹	(정보 없음)	(정보 없음)	2일	키오스크 사용법(음식 주문, 영화표 예매 등), 스마트폰 활용 건강 관리 방법
273.0	찾아가는 소방안전관리 교육	전라북도 익산시	익산소방서			불명	디지털 기기 사용이 불편한 고령 소방안전관리자	디지털 기기 사용 안내 및 안전 정보 접근성 강화, 화재안전관리 사각지대 최소화, 화재예방	불명(방문 교육)	오프라인	그룹	불명	불명	불명	맞춤형 화재안전컨설팅 제공, 소방시설 등 유지·관리 요령 교육, 화재예방 관련 홍보물 제공, 소방안전 관련 즐겨찾기 채널 설정법, 소방시설법 개정사항 안내
274.0	종로구민 정보화 교육	서울특별시 종로구	종로구청	없음	미상	미상	만 55세 이상 종로구민	어르신들의 디지털 역량 강화 및 삶의 질 향상	한국방송통신대학교 전산교육장, 종로 시니어 디지털센터(서부권), 온라인(Zoom)	대면 & 비대면	그룹	미상	미상	미상	스마트폰 기기 사용법, 애플리케이션 활용법, 컴퓨터·인터넷·한글 프로그램 기초과정, 동영상 제작, 밴드 활용법 등
274.0	종로 시니어 디지털센터(동부권) 교육	서울특별시 종로구 종로1.2가	종로구청	없음	미상	미상	미상(만 55세 이상 종로구민으로 추정)	어르신들의 디지털 역량 강화	종로구립 종로노인종합복지관 3층	대면	그룹	미상	미상	미상	디지털 교육, 기기를 활용한 체험 활동
274.0	종로 시니어 디지털센터(서부권) 교육	서울특별시 종로구 행촌동	종로구청	없음	미상	미상	미상(만 55세 이상 종로구민으로 추정)	어르신들의 디지털 역량 강화	종로구 행촌동 은행나무 경로당 2층	대면	그룹	미상	미상	미상	정보화 교육, 영화 예매 및 KTX 티켓 발권법, 건강검진 및 상담 등
275.0	그린스텝스(Green Steps)	서울특별시, 서울, 용산구,  부산광역시, 부산, 부산진구	현대캐피탈	현대캐피탈	(명시되지 않음)	약 100명	현대캐피탈 임직원	환경보호	남산공원, 부산 시민공원 일대	오프라인	그룹	1시간 30분	(명시되지 않음, 2일에 걸쳐 진행)	(명시되지 않음, 2일에 걸쳐 진행)	플로깅(걷거나 조깅하면서 쓰레기 줍기)
275.0	유소년 배구 교실	충청남도 천안시, 대구광역시, 부산광역시, 강원도 춘천시, 전라북도 무주군, 충청북도 청주시	현대캐피탈	현대캐피탈	(명시되지 않음)	4000여 명	사회 취약계층 아동 포함 유소년	배구 기술 향상 및 체력 증진	천안, 대구, 부산, 춘천, 무주, 청주 지역 다수 장소	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	7년	배구 기술 교육
275.0	1사 1교 금융교육	(명시되지 않음)	현대캐피탈	현대캐피탈	(명시되지 않음)	(명시되지 않음)	중·고등학생	금융에 대한 올바른 인식 함양	중·고등학교	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	2년 이상	금융 교육
275.0	시니어 디지털 인턴	서울특별시 (추정)	현대캐피탈	현대캐피탈	(명시되지 않음)	(명시되지 않음)	고령층 고객	디지털 금융 서비스 이용 능력 향상 및 금융 범죄 예방	현대캐피탈 본사	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	1년 이상	스마트폰 활용법, 키오스크 이용법, 보이스피싱 예방 교육
276.0															
277.0	행복드림 아카데미	충청북도 옥천군	옥천군노인장애인복지관				옥천군 거주 장애인, 장애인 평생학습 기관 실무자	장애인 평생학습권 보장 및 사회참여 기회 확대		오프라인	그룹				디지털 교육(키오스크, 디지털 금융, 스마트폰 사용법), 직업 기초교육, 문화예술 교육, 시민 옹호인 양성교육, 스포츠활동, 싱잉볼 명상, 문화예술체험, 캠프 등
278.0	시니어 노동자 대상 스마트 교육	경기도 안양시	안양시노동인권센터	㈜캐어유	(미상) ㈜캐어유 소속 스마트 교육 전문 강사	(미상)	시니어 노동자	디지털 장벽 해소 및 디지털 사회 대응능력 향상, 노동인권 증진	안양시노동인권센터 교육장	오프라인	그룹	2시간	1회/주	6주	키오스크 및 스마트폰 사용법 등
279.0	스마트폰 영상제작 교육 프로그램	강원도 춘천시	춘천북부노인복지관			16명	복지관 이용자 (어르신)	영상 촬영 및 편집 기술 습득, 복지관 및 지역 홍보 영상 제작	춘천북부노인복지관	오프라인	그룹	2시간	1회	10주	스마트폰 기본 이해, 포토에세이 제작, 영상 촬영 및 편집
280.0	키오스크 교육	강원도 춘천시	춘천북부노인복지관	없음	한림대 사회복지학과 A.S.S.A 동아리	(명시되지 않음)	만 60세 이상 어르신	키오스크 사용 능력 향상 및 디지털 기기 접근성 강화	춘천북부노인복지관 강당	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	(명시되지 않음)	스마트폰 어플을 통한 키오스크 사용 연습 및 키오스크 사용 실습
281.0	청소년 정보화 동행단	광주광역시 동구	동구청		청소년 정보화 동행단 신준수 단장 외 17명	불명	어르신, 부녀회원, 1인 가구, 다문화가족	스마트기기 활용 능력 향상 및 온라인 서비스 이용 편의 증진, 세대 간 소통 증진	거점 경로당, 행정복지센터	오프라인	1:1	불명	불명	10주 (10월말까지)	앱 사용, 키오스크 주문, 온라인 배달 주문 등
281.0	디지털 교육	광주광역시 서구	서구 상록도서관	㈜국제	㈜국제 전문강사	불명	기계 사용에 어려움을 느끼는 어르신	스마트폰, 키오스크 등 디지털 기기 이용 방법 및 컴퓨터 기초 교육	상록도서관	오프라인	그룹	불명	불명	8주 (지난달 총 8회 진행, 24일까지 진행 예정)	스마트폰, 키오스크 등 디지털 기기 이용 방법과 컴퓨터 기초
282.0	경로당 찾아가는 스마트 교육	대전광역시 동구	(사)대한노인회 대전 동구지회	㈜이앤오즈	전문강사(구체적인 이름은 언급되지 않음)	언급되지 않음	노인	스마트 기기 활용 능력 향상	경로당	오프라인	그룹	언급되지 않음	언급되지 않음	언급되지 않음	언급되지 않음
283.0	고령층 대상 금융사기 예방 교육	서울특별시 금천구	서울시평생교육진흥원 서울시민대학 ‘모두의학교 캠퍼스’	토스뱅크	토스뱅크 금융사기대응팀	약 30명	70대 이상 고령층	급변하는 디지털 및 비대면 금융 환경 속 안전한 모바일 금융 서비스 이용방법 및 금융 사기 피해 예방	서울시평생교육진흥원 서울시민대학 ‘모두의학교 캠퍼스’ (서울 금천구 소재)	오프라인	그룹	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	다양한 금융 사기 유형 설명, 대응 행동 지침 제시, 금융사고 책임분담제도 안내
284.0															
285.0	강서 스마트한교실	서울특별시 강서구 화곡본동, 서울특별시 강서구 강서평생학습관	강서구청			100명	디지털 기기 사용에 어려움을 겪는 어르신	디지털 정보 격차 해소 및 스마트 기술 활용능력 향상	화곡본동 주민센터 2층 강의실 (기초반), 강서평생학습관 1층 강의실 (심화반)	오프라인	그룹		1주 2회	20주	기초반: 스마트폰 기본 기능(와이파이 켜기, 문자 메시지 보내기, 사진 촬영, 길 찾기 등)<br>심화반: 카카오톡, 은행 어플리케이션, 온라인 쇼핑, 숏폼 동영상 제작, 메타버스 가상현실 체험 등
286.0	도전! 키오스크	충청북도 음성군	음성군 설성평생학습관	없음	기사에 명시되지 않음	기사에 명시되지 않음	초등학력인정 문해교육반 어르신	디지털 기기에 대한 두려움 해소 및 생활 불편 해소	설성평생학습관 1층 로비, 패스트푸드점	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	무인민원발급기 이용(주민등록등본 발급), 패스트푸드점 키오스크 이용(햄버거 주문)
287.0	교원 역량 강화 연수	경상북도 고령군	고령교육지원청		배태영 (국립청소년인터넷드림마을 원장, 경북도청소년상담복지센터장)	(명시되지 않음)	관내 초·중·고 교원 및 교육지원청 직원	청소년의 인터넷·게임·스마트폰 과의존 예방을 위한 교원 역량 강화	(명시되지 않음)	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	(명시되지 않음)	청소년의 인터넷·게임·스마트폰 과의존 원인에 대한 과학적 설명 및 현대 사회의 급변하는 미디어와 디지털 세상에 대응하는 방법
288.0	찾아가는 정보화 교육	충청북도 충주시 대소원면, 노은면, 달천동, 봉방동 등	충주시청 정보통신과	해당 없음	전문 강사	281명	스마트폰 보유 어르신 (15명 이상 거주지 행정복지센터 요청 시)	어르신들의 디지털 사회 적응 및 정보기기 활용능력 향상	행정복지센터 등	오프라인	그룹	10시간	해당 없음 (4~5일)	4~5일	스마트폰 이용, 키오스크 활용(음식 주문, 차표 예매 등), 문자 전송 및 수신, 사진 촬영, 동영상 편집 등
289.0	어디나 5분 클래스	서울특별시	서울디지털재단			(댓글 이벤트 참여자 1000명에게 교재 제공)	디지털 기기 활용에 어려움을 겪는 어르신	디지털 격차 해소 및 어르신들의 스마트폰 활용 능력 향상	온라인(서울디지털재단 유튜브 채널)	온라인	그룹	5분 내외	32차시		스마트폰 기본 설정, 카카오톡 활용, 인기 앱 활용, 사진/영상/메타버스 콘텐츠 제작 등
290.0	찾아가는 정보화 교육	충청북도 충주시	충주시		전문 강사	405명	어르신	디지털 역량 강화	중원교육문화원, 충주우체국, 중원도서관, 면 지역 17개 경로당	오프라인	그룹	(정보 없음)	(정보 없음)	(정보 없음)	스마트폰 교육, 키오스크 실습 교육 (영화관 키오스크 예매 및 팝콘 구매 실습 포함)
291.0	찾아가는 정보화 교육	충청북도 충주시 면 지역 17개 경로당 (중원교육문화원, 충주우체국, 중원도서관 포함)	충주시		전문 강사	405명	어르신	디지털 역량 강화, 디지털 문화 친숙화	면 지역 17개 경로당, 중원교육문화원, 충주우체국, 중원도서관	오프라인	그룹	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	스마트폰 교육, 키오스크 실습 교육 (영화관 키오스크 예매 및 팝콘 구매 실습 포함)
292.0	키오스크 교육	강원도 춘천시	춘천북부노인복지관	없음	오선미	(명시되지 않음, 수강생 증가 추세)	70-80대 어르신	키오스크 사용법 숙지	춘천북부노인복지관 배움 1실	오프라인	그룹	(명시되지 않음)	1회/주	(명시되지 않음)	키오스크를 이용한 주문 방법 (예: 치즈버거 세트 주문)
292.0	키오스크 교육	강원도 춘천시	춘천남부노인복지관	없음	(명시되지 않음)	290명	어르신	키오스크 사용법 숙지	(명시되지 않음)	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	(명시되지 않음)	키오스크를 이용한 주문 방법
292.0	태블릿 PC 활용 키오스크 사용법 교육 및 디지털 기기를 활용한 운동 체험과 쇼핑 교육	강원도 홍천군	대한노인회 도연합회	캐어유	(명시되지 않음)	120명	대한노인회 임원 및 시·군지회 회장단	디지털 문해력 향상, 디지털 기기 활용 능력 향상	(명시되지 않음)	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	(명시되지 않음)	태블릿 PC를 활용한 키오스크 사용법, 디지털 기기를 활용한 운동 체험, 쇼핑 방법
293.0	시니어 정보화교육	대구광역시 북구	한국노년봉사단	없음	심상호 (한국노년봉사단 사무총장)	불명	시니어 세대 어르신	디지털 격차 해소, 자존감 회복, 건강한 사회관계망 유지, 삶의 질 향상	대구 북구 노인회관, 보훈회관 등	오프라인	그룹	불명	불명	불명	정보통신 관련 교육
294.0	원포인트 스마트폰 활용 프로그램	서울특별시 성동구	성동구 평생학습관 독서당인문아카데미센터	SK telecom (PS&Marketing)	한양대 학생 자원봉사자	3~5명 (그룹당)	스마트폰 사용이 서툰 어르신 등 주민	스마트폰 활용법 교육	(자료 미제공)	오프라인	그룹	(자료 미제공)	1회	6주 (1월 13일 ~ 2월 28일)	스마트폰 활용법 (자체 교재 활용)
295.0	찾아가는 디지털 교육	충청북도 옥천군	옥천군 주민복지과, 옥천군 평생학습원, 충북디지털배움터		충북디지털배움터 강사	미상 (내년 1월부터 시작)	옥천군 어르신	어르신들의 디지털 능력 향상, 스마트알리미TV 활용도 증진, 2022년 스마트경로당 사업 준비	옥천군 경로당	오프라인	그룹 및 1:1 (향후 계획)	미상	미상	미상	스마트폰 사용법, 인터넷뱅킹, 키오스크 사용법 등 일상생활 밀착형 교육
296.0															
297.0															
298.0															
299.0	경로당 디지털 서포터스	경기도 시/군 (세부 지역 미상)	경기도, 경기도 경로당광역지원센터(대한노인회 경기도연합회)		선발된 경로당 디지털 서포터스 40명	미상 (경로당 이용 노인)	디지털 격차 해소	스마트폰, 키오스크 등 디지털 기기 활용법 교육	경로당	오프라인	그룹	미상	2회 (주)	20주 (예상, 3~11월 활동)	스마트폰, 키오스크 등 디지털 기기 활용법
300.0															
301.0	찾아가는 키오스크 일일 교육	울산광역시, 시/군/구 (구체적인 지역 명시 없음)	울산시	명시되지 않음	명시되지 않음	명시되지 않음	노인복지관과 경로당 이용 어르신	디지털 역량 강화	노인복지관과 경로당	오프라인	그룹	1일	명시되지 않음	명시되지 않음 (20일부터 8월 초까지)	무인 주문기와 단말기 사용법 (무인민원발급, 은행, 카페, 음식점, 교통 등 활용 방법)
301.0	실생활 맞춤형 교육	울산광역시	울산시	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	디지털 격차 해소	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	디지털 기초/생활/심화/특별 교육
301.0	디지털 체험존 교육	울산광역시	울산시	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	디지털 격차 해소	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	명시되지 않음	AI 스피커, VR 기기 등 체험 교육
302.0	찾아가는 정보화교육 ‘키오스크 사용법’	서울특별시 은평구	은평구청	없음	명시되지 않음	명시되지 않음	어르신	키오스크 활용 어려움 해소	은평구 관내 구립 노인복지관 6개소 순회	오프라인	그룹	명시되지 않음	명시되지 않음	7월 23일까지	음식 주문, 티켓 발매, 민원 발급, 요금 정산, 물류 등 5개 분야 10개 프로그램
303.0															
304.0	어디나지원단 스마트폰 활용법 수업	서울특별시 강서구 염창동	서울시		민형열(어디나지원단 단원)	3명	5060 장·노년층	스마트폰 활용 능력 향상	카페	오프라인	1대1	2시간 30분			스마트렌즈 활용, QR코드 정보 확인, 모바일 기사 음성/번역 기능 활용 등
304.0	LG전자 스마트폰 기초교육	서울특별시 (하이프라자 직영 LG베스트샵 35곳)	서울시	LG전자, KT엠모바일, 하이프라자	LG베스트샵 직원	불명	노인	스마트폰 활용 능력 향상	LG베스트샵	오프라인	그룹	불명	불명	불명	스마트폰 기초 사용법
304.0	디지털 배움터	서울특별시 (각 자치구 주민센터, 복지관)	서울시		디지털 교육 강사 2명, 서포터스 2명	불명	서울 시민	스마트 기기, SNS, 교통, 금융 서비스, 앱 활용 능력 향상	주민센터, 복지관	오프라인(현재) / 온라인(이전)	그룹	불명	불명	불명	스마트기기, SNS 활용, 교통/금융 서비스, 앱 사용법 등
304.0	키오스크 체험존 교육 프로그램	서울특별시 (25개 자치구)	서울시		불명	불명	디지털 취약계층	키오스크 이용 능력 향상	패스트푸드점, 커피전문점, 분식점 등 (키오스크 설치 장소)	오프라인	그룹	불명	불명	불명	음식 주문, 발권, 요금 정산, 민원서류 발급, 무인택배함 이용 등 10가지 시나리오 기반 키오스크 이용법
305.0	어르신 맞춤형 스마트폰 보급사업	서울특별시	서울시	LG전자, KT엠모바일, 하이프라자	표에서 제공되지 않음	1112명	어르신	어르신의 디지털 접근성 강화	표에서 제공되지 않음	오프라인	1:1 또는 그룹 (불명확)	표에서 제공되지 않음	표에서 제공되지 않음	표에서 제공되지 않음	스마트폰 보급 및 이용 교육 (추정)
305.0	키오스크 체험존 운영	서울특별시  (자치구별)	서울시	표에서 제공되지 않음	표에서 제공되지 않음	표에서 제공되지 않음	디지털 취약계층	키오스크 사용법 교육	46곳의 키오스크 체험존	오프라인	그룹 (추정)	표에서 제공되지 않음	표에서 제공되지 않음	표에서 제공되지 않음	키오스크 사용법 교육
305.0	고령층 디지털 접근성 표준 개발	서울특별시	서울디지털재단	표에서 제공되지 않음	표에서 제공되지 않음	표에서 제공되지 않음	표에서 제공되지 않음	고령층 디지털 접근성 향상	표에서 제공되지 않음	온라인 (추정)	그룹 (추정)	표에서 제공되지 않음	표에서 제공되지 않음	표에서 제공되지 않음	모바일 웹 및 키오스크 부문 표준 개발
306.0	스마트폰 활용법 특강	충청남도 천안시 서북구 쌍용1동	천안교육지원청	없음	기사에 언급되지 않음	15명	어르신, 지역주민	스마트폰 사용법 이해 및 활용 능력 향상, 세대 간 소통 증진	천안AI꿈키움터 4층 융합실	오프라인	그룹	90분	2회/주	4주	스마트폰 이해, 사진/동영상 촬영 및 전송, 카카오톡 사용, 유튜브 사용, 앱스토어 활용, 인터넷 쇼핑, 건강관리 앱 활용
307.0	시니어 스마트폰 활용법 특강	충청남도 천안시 동남구 (읍면동 정보 없음)	천안교육지원청 천안AI꿈키움터	(정보 없음)	(정보 없음)	(정보 없음)	시니어 세대, 지역주민	스마트폰 사용법 숙지 및 세대 간 소통 증진	천안AI꿈키움터	오프라인	그룹	90분	2회	4주	스마트폰 이해, 사진/동영상 촬영 및 전송, 카카오톡 사용, 유튜브 사용, 앱스토어 활용, 인터넷 쇼핑, 건강관리 앱 활용 등
308.0	스마트폰 활용법 특강	충청남도 천안시	천안교육지원청	없음	기사에 명시되지 않음	16명	스마트폰 사용에 어려움을 겪고 있는 어르신들과 지역주민	스마트폰의 올바른 이해와 사용법 숙지, 세대 간 소통 증진	천안AI꿈키움터 4층 융합실	오프라인	그룹	90분	2회	4주	스마트폰 이해, 사진/동영상 촬영 및 전송, 카카오톡 사용, 유튜브 사용, 앱스토어 활용, 인터넷 쇼핑, 건강관리 앱 활용 등
309.0															
310.0	디지털 금융교육	강원도 고성군, 양구군 등	농협중앙회 강원본부	강원농협	NH디지털매니저	1200여 명 (2년간)	도내 고령 조합원	디지털 정보격차 해소 및 디지털 금융 확산	지역 농축협, 마을회관	오프라인	1대1 및 그룹	(명시되지 않음)	80여회 (2년간)	2년	△상호금융 앱(NH콕뱅크, 스마트뱅킹 등) 설치 및 사용방법 안내 △사례를 통한 전자금융사기(보이스피싱) 예방교육 △NH오늘농사 플랫폼 소개 및 활용방법 안내
311.0	스마트폰 활용 교육	경상남도 양산시	양산노인일자리창출지원센터	없음	정보 없음	정보 없음	재취업 희망 구직자	취업기초적응을 위한 디지털 역량 강화	정보 없음	오프라인	정보 없음	정보 없음	정보 없음	정보 없음	인터넷 정보검색, 은행업무, 쇼핑 등 다양한 활동 실습
312.0	찾아가는 디지털 에듀버스 교육	경상남도 양산시 (읍면동 정보 없음)	양산노인일자리창출지원센터	(기업 정보 없음)	(강사 정보 없음)	(인원 수 정보 없음)	(대상 정보 없음, 문맥상 노인 추정)	키오스크 비대면 주문 방법 실생활 활용	(장소 정보 없음)	오프라인	그룹	(시간 정보 없음)	(횟수 정보 없음)	(기간 정보 없음)	키오스크 터치스크린 방식 무인단말기 비대면 주문 방법 실습
313.0	키오스크 활용 교육	대전광역시, 시, 구,  (읍면동 정보 없음)	대전시설관리공단 기성종합복지관	(기업 정보 없음)	(강사 정보 없음)	(인원 수 정보 없음)	디지털 취약계층 어르신	고령층 정보격차 해소 및 자신감 있는 노후 생활 지원	기성종합복지관	오프라인	그룹	(시간 정보 없음)	(횟수 정보 없음)	(기간 정보 없음)	병원 접수·수납, 교통편 예약, 영화표 예매, 음식 주문 등 키오스크 사용법
314.0	시니어 디지털 문해교실	강원특별자치도 속초시	속초교육문화관	강원디지털배움터	강원디지털배움터 전문 강사	기사에 명시되지 않음	지역 어르신	디지털 격차 해소 및 적극적인 사회활동 참여 지원	속초교육문화관	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	13주	무인 안내기(키오스크) 사용법, 스마트폰 기본 활용법
315.0	찾아가는 키오스크 교육	충청북도 영동군	영동군	(기업명시 없음)	(강사명 미상)	(인원수 미상)	노인, 장애인 등 디지털 취약계층	키오스크 활용 역량 강화	노인복지관, 행복가득 노인교실, 장애인복지관, 읍·면사무소 등 14곳	오프라인	그룹	(시간 미상)	(횟수 미상)	19일~다음달 27일 (총 6주 예상)	열차표 구매, 영화표 예매, 병원 접수 등 일상생활 키오스크 활용 기능
316.0	CJ화이트햇		CJ올리브네트웍스 CJ정보보호센터	CJ올리브네트웍스		24개 기업	중소·중견 기업	중소기업의 정보보호 역량 강화		오프라인	그룹				모의 해킹, 개인정보 컴플라이언스 점검, 정보보호 교육 등 맞춤형 컨설팅
316.0	시니어 디지털 리터러시 교육	서울특별시, 시/군, 구, 읍면동 (8곳의 노인사회복지관)		CJ올리브네트웍스	CJ올리브네트웍스 임직원	400명	시니어	디지털 격차 해소	8곳의 노인사회복지관, 패스트푸드점, 카페, 영화관 등	오프라인	1대1				스마트폰 교육, 키오스크 교육, 키오스크 현장실습
317.0	디지털 교육 나눔 사회공헌 활동	전라남도/전라북도/광주광역시/광주시	KT 전남전북광역본부	KT	KT 사랑의 봉사단	(명시되지 않음, 추정상 소수)	고려인 독거노인	디지털 환경 적응 및 실생활 문제 해결 지원	고려인마을노인돌봄센터	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	(명시되지 않음)	키오스크 사용법, KT 하이오더 체험(테이블오더 주문), 스마트폰 활용 방법, 보이스피싱 예방 교육
318.0	우리동네 어르신 스마트폰 앱 사용 교육	경상남도 창원시 마산합포구 완월동	완월동주민자치회	없음	전문 강사	불명	스마트폰 및 폴더폰 사용 어르신	스마트폰 및 폴더폰 사용법 교육	관내 경로당 10곳	오프라인	그룹	불명	불명	3~14주 (경로당별 상이)	스마트폰 앱 사용 교육, 폴더폰 사용 교육
319.0	시니어 스마트폰 활용교육	전라북도 순창군	순창군 장애인노인종합복지관	없음	박진철 강사 (보조강사 포함)	20명	관내 어르신	코로나19로 인한 디지털 세대 가속화에 따른 노년층의 스마트폰 활용 능력 향상	순창군 장애인노인종합복지관	오프라인	그룹	2시간	2회	16회차(8주)	스마트폰 활용법 (카카오톡 사용, 사진 보기 등)
320.0	AI·IoT 기반 어르신 건강관리사업 맞춤형 ICT 교육	전라북도 순창군	순창군	한국지능정보사회진흥원	한국지능정보사회진흥원 디지털 배움터 소속 2명	15명	AI·IoT 기반 어르신 건강관리사업 참여 어르신	스마트폰 활용 및 건강관리 앱 사용법 교육	순창군 보건의료원 소회의실	오프라인	그룹	2시간	1회	1주	스마트폰 기본 활용법(앱 설치/삭제, 카카오톡 사용법, 사진 촬영, YouTube 사용법), ‘오늘 건강’ 앱 로그인 및 스마트 기기 연계 방법
321.0	스마트폰 활용 교육	경상남도 진주시 가좌동	부산시청자미디어센터	없음	(강사 정보 없음)	15명	60세 이상 중장년층 및 노인	스마트폰 활용 능력 향상	진주시가좌사회복지관	오프라인	그룹	1.5시간	2회	10회 (5주)	스마트폰 기능 및 앱 활용, 사진 촬영 기초, 영상 촬영 및 편집
